Phase,Task,Status,Trigger / How Recognized,What It Does,Code Location,Destructive?,Requires Picking An Existing Record?,Risk Level,Notes,
Phase 2,lead_create (demote from Phase 3),Proposed — not built,Would add a lead_create entry to the real-estate intent pack (phrases + threshold),"""Add John Tan, phone 91234567, as a new lead"" — recognizable phrasing, fields extract cleanly, wrong guess trivially edited afterward. Currently routed through the full AI (Phase 3) unnecessarily.",Not yet created — currently only exists as an Anthropic tool in supabase/functions/aria-chat/tools.ts,No,No (pure creation),Low,"Good candidate per the original safety criteria: common, low-ambiguity extraction, cheap-to-undo mistake.",
Phase 2,"Pure screen navigation (""show my calendar"" etc.)",Proposed — not built,Would need its own intent pack entries per screen or a dedicated lightweight classifier,"Jump straight to the requested screen for common, unambiguous phrasings, without waiting on a full AI round-trip. Currently always routed through Phase 3's screen_navigate tool.",Not yet created,No,No,Low,Likely the single highest-volume ARIA request type — biggest latency win if demoted from Phase 3 to Phase 2.,
Phase 2,Commission calculation,Proposed — not built,Would need a commission_calc intent entry,"Extract price + rate directly from text (""what's my commission on a $2.8M sale at 2%?"") and compute/pre-fill the calculator without a full AI call — pure deterministic math, no database write.",Not yet created,No,No,Low,"Zero mutation risk — worst case is a wrong number shown, instantly correctable.",
Phase 3,lead_view,Built,Anthropic tool call,"Navigate to a specific lead's detail view by name (ilike match on full_name, scoped to the agent's own leads). Zero matches tells the agent nothing was found; 2+ matches shows a pick-list of action buttons (goto_lead_detail) instead of guessing; exactly 1 match navigates directly. Built 2026-08-12 as the read-only counterpart to lead_reassign's name resolution.",supabase/functions/aria-chat/tools.ts; AIChatPanel.tsx onDone() switch (case lead_view) + handleAction (goto_lead_detail),No,"Yes, but safe because non-mutating — fuzzy match only navigates, never writes",Low,"Implemented as a Phase 3 tool (not demoted to Phase 2) since it needs a live DB query to resolve the name — could still be demoted later once there's a lightweight embedding-classifier equivalent. The listing-side equivalent (view_listing by name) is NOT built yet — same pattern, not yet extended to properties.",
Phase 2,Add an agent note / agent_memory write,Proposed — not built,Would need an intent entry once agent_memory has a write path at all,"""Remember I prefer WhatsApp for this lead"" — recognizable, low-stakes, easily corrected if wrong.",Not yet created — agent_memory is currently read-only (ARIA reads it every message but nothing writes to it),No,No,Low,Blocked on agent_memory having any write path built first (currently none exists anywhere in the app).,
Phase 2,Simple unlinked task/reminder creation,Proposed — not built,Would need an intent entry once a tasks/reminders feature exists,"""Remind me to call the bank tomorrow"" — safe as long as it's not linked to a specific lead/property. The moment it needs linking to a record, it should move to Phase 3 instead.",Not yet created — agent_tasks table exists but has no agent-facing UI or ARIA path at all,No,No (only for the unlinked case),Low,Moves to Phase 3 the moment a lead/property link is required.,
Phase 3,lead_create,Built,Anthropic tool call,"Creates a new lead/prospect record in the CRM. As of 2026-08-10, shares scenes/leadOperations.ts createLead() with the manual ""Add Lead"" dialog in LeadsScene.tsx (and the Quick Access ""Log a Lead"" button, previously dead) — one operation, two entry points.",supabase/functions/aria-chat/tools.ts; AIChatPanel.tsx onDone() switch; shared logic in scenes/leadOperations.ts,No,No,Low,Flagged above as a Phase 2 demotion candidate — currently costs a full AI call for something simple enough not to need one.,
Phase 3,lead_update_status,Built,Anthropic tool call,"Updates an existing lead's pipeline status (new/contacted/viewing/offer/closed/lost). As of 2026-08-10, shares scenes/leadOperations.ts updateLeadStatus() with the manual status Select now on both the Lead List card and LeadDetailScene.",supabase/functions/aria-chat/tools.ts; AIChatPanel.tsx onDone() switch; shared logic in scenes/leadOperations.ts,No (but wrong status is a real pipeline error until corrected),Yes — must resolve which lead,Medium,"Correctly kept in Phase 3: requires resolving a specific lead, wrong silent guess mutates real CRM data.",
Phase 3,lead_draft_message,Built,Anthropic tool call,Drafts (never sends) a message to a lead using saved templates.,supabase/functions/aria-chat/tools.ts; AIChatPanel.tsx onDone() switch,No (draft only, never sent automatically),Yes — must resolve which lead,Medium,Non-mutating in the sense that nothing is sent without the agent reviewing/copying it manually.
Phase 3,viewing_book,Built,Anthropic tool call,"Books a real property viewing for a lead, calling the same shared bookViewing() function the manual Calendar UI uses.",supabase/functions/aria-chat/tools.ts; AIChatPanel.tsx onDone() switch; shared logic in scenes/viewingOperations.ts,No (booking is reversible via cancel),Yes — must resolve lead + property,Medium,"""One shared function per operation"" rule applied here — manual and AI paths call the identical bookViewing().",
Phase 3,folder_create,Built,"Anthropic tool call (used when Phase 2's create_folder didn't fire, e.g. below confidence)",Creates a new folder.,supabase/functions/aria-chat/tools.ts; AIChatPanel.tsx onDone() switch,No,No,Low,Acts as the Phase 3 fallback for the same action Phase 2 usually catches first.,
Phase 3,screen_navigate,Built,Anthropic tool call,Navigates the agent's screen to any of 14 known views.,supabase/functions/aria-chat/tools.ts; AIChatPanel.tsx onDone() switch,No,Sometimes (e.g. lead_id param),Low,Flagged above as a Phase 2 demotion candidate for the common/unambiguous phrasings.,
Phase 3,lead_reassign,Built,Anthropic tool call,"Creates a pending lead_shares row inviting a named colleague to take over a lead the agent owns; never an instant transfer. Shares the accept_lead_share() RPC/shareLead() operations with the manual ""Reassign"" dialog in LeadsScene.tsx.",supabase/functions/aria-chat/tools.ts; AIChatPanel.tsx onDone() switch; shared logic in scenes/leadShareOperations.ts,No (request only — recipient must accept before ownership actually transfers),Yes — must resolve lead + target agent (by name),Medium,"Built 2026-08-10 per BUILD_GUIDE.md §15 item 4's ""light lead-reassignment"" scope — deliberately not a full pooled-lead/claim system.",
Phase 3,Edit listing fields,Not built (manual UI only today),Would need a new Anthropic tool + record resolution,"Change price, description, specs etc. on an existing listing.","Manual only today: ListingFormScene.tsx, EditListingPage.tsx",No (but a wrong field edit is a real data error),Yes — must resolve which listing,High,Explicitly unsafe for Phase 1/2 fast-pathing per the original design criteria — needs full AI reasoning plus likely a confirm step.,
Phase 3,Publish / unpublish a listing,Not built (manual UI only today),Would need a new Anthropic tool + record resolution,Toggles a listing between draft and live/active.,"Manual only today: ListingFormScene.tsx toggleStatus(), AgentListingsPage.tsx",Yes — takes a real listing offline or live,Yes — must resolve which listing,High,"Named explicitly in the original design as an unsafe-to-gate example — a wrong silent toggle has real, visible consequences.",
Phase 3,Delete listing,Not built (manual UI only today),Would need a new Anthropic tool + record resolution + Phase 1 confirm gate,Permanently deletes a listing and its images/notes/price history.,"Manual only today: ListingFormScene.tsx handleDelete(), AgentListingsPage.tsx handleDelete()",Yes — irreversible,Yes — must resolve which listing,High,Should never auto-execute from a single AI turn — needs the still-unbuilt Phase 1 yes/no confirm gate layered on top.,
Phase 3,Delete folder,Not built (manual UI only today),Would need a new Anthropic tool + record resolution + Phase 1 confirm gate,Deletes a folder and all files inside it (cascades storage).,Manual only today: useFileOperations (FilesScene),Yes — irreversible,Yes — must resolve which folder,High,Same reasoning as delete listing.,
Phase 3,Delete file / photo,Not built (manual UI only today),Would need a new Anthropic tool + record resolution + Phase 1 confirm gate,Deletes an individual file.,Manual only today: useFileOperations (FilesScene),Yes — irreversible,Yes — must resolve which file,High,Same reasoning as delete listing.,
Phase 3,Move file between folders,Not built (manual UI only today),Would need a new Anthropic tool + double record resolution,Moves a file from one folder to another.,Manual only today: useFileOperations (FilesScene),No (reversible by moving back),Yes — must resolve source AND destination,Medium-High,Two records to resolve at once — genuinely ambiguous territory, stays Phase 3.
Phase 3,Update / cancel a viewing,Not built (manual UI only today),Would need a new Anthropic tool + record resolution,Confirms/completes/cancels an existing booked viewing.,Manual only today: CalendarScene updateViewingStatus(),Cancel is effectively destructive (real-world no-show risk),Yes — must resolve which viewing,High,Cancel specifically should get a confirm step before firing.,
Phase 3,Publish a social/content post,Not built (manual UI or ARIA path exists),Would need a new Anthropic tool + mandatory confirm step,Publishes agent-authored content publicly.,No UI or ARIA path exists yet — content_posts table + social scene are both placeholders,Yes — public and effectively irreversible once seen,No,High,Should never auto-fire without an explicit confirm step given real-world visibility once published.,
Phase 3,Message-template create vs. edit,Not built (manual UI or ARIA path exists),Create = could later demote to Phase 2; edit = stays Phase 3,Manage saved message templates used by lead_draft_message.,No UI or ARIA path exists yet — templates scene is a placeholder,No,"Edit: yes, must resolve which template. Create: no.",Medium,Split rationale: net-new creation has no ambiguity; editing an existing one does.,
Phase 3,lead_detail screen,Built,"Anthropic screen_navigate tool call, or manual click on a lead card","Built 2026-08-10. Dedicated single-lead detail view — contact/qualification/AI-score display, status change, notes+follow-up edit, reassign, linked-property link. Was a dead placeholder stub before; now referenced/linked correctly from Dashboard and Leads.",src/components/command/scenes/LeadDetailScene.tsx; registered in DynamicScreen.tsx,No,Yes — lead_id passed via sceneParams,Low,Closes the single most-referenced dead link in the portal (Dashboard's Recent Leads panel and every Leads card click both pointed here with nothing built).,
Not yet phased,crm screen,Not built at all,N/A,Placeholder — no real functionality either side.,PlaceholderScene.tsx (stub),N/A,N/A,N/A,Same as above.,
Not yet phased,market screen,Not built at all,N/A,"Placeholder — intended for market/transaction data, no real functionality either side.",PlaceholderScene.tsx (stub),N/A,N/A,N/A,Same as above.,
Not yet phased,social screen,Not built at all,N/A,"Placeholder — intended for content_posts management, no real functionality either side.",PlaceholderScene.tsx (stub),N/A,N/A,N/A,Same as above.,
Not yet phased,documents screen,Not built at all,N/A,Placeholder — no real functionality either side.,PlaceholderScene.tsx (stub),N/A,N/A,N/A,Same as above.,
Not yet phased,templates screen,Not built at all,N/A,"Placeholder — intended for message_templates management, no real functionality either side.",PlaceholderScene.tsx (stub),N/A,N/A,N/A,Same as above.,
Not yet phased,notifications screen,Not built at all,N/A,Placeholder — notifications table exists but no read/write UI.,PlaceholderScene.tsx (stub),N/A,N/A,N/A,Same as above.,
Phase 3,viewing_lookup,Built,Anthropic tool call,"Read-only lookup of the agent's own booked viewings — answers ""what's my latest booking""/""what's my next viewing"" directly with real data (lead, property, date/time, status) instead of just navigating to the calendar. Optional lead_name filter, which=latest (most recent by created_at) or upcoming (soonest from now).",supabase/functions/aria-chat/tools.ts; AIChatPanel.tsx onDone() switch,No,"No (single query, no disambiguation pick-list — read-only so an imprecise match is low-stakes)",Low,"Built after a live user test surfaced the exact gap: ARIA replied ""I don't have a way to pull up booking records directly"" to ""what is my latest booking?"" and could only offer navigation. Confirms the design principle that read-only retrieval belongs alongside navigation as a base ARIA capability, not just mutating actions. Deployed and verified live in the deployed aria-chat bundle on 2026-08-12.",
