Major Page,Subpage,Route,Activity,Description,Database Tables,Storage
Commission & Earnings,Statements,/portal/agent/commission/statements,Download statement,Retrieve a previously generated statement,documents_generated,generated-documents (new)
Marketing / Social Hub,Connected Accounts,/portal/agent/marketing/accounts,Connect account,Link a social platform account (e.g. Instagram, Facebook),social_accounts,—
Marketing / Social Hub,Connected Accounts,/portal/agent/marketing/accounts,Disconnect account,Remove a linked account,social_accounts,—
Marketing / Social Hub,Post Composer & Calendar,/portal/agent/marketing/posts,Create post,"Compose a social post, optionally from a template","social_posts, social_templates",content-assets (new)
Marketing / Social Hub,Post Composer & Calendar,/portal/agent/marketing/posts,Schedule post,Set a future publish date/time,"social_posts, content_posts",content-assets (new)
Marketing / Social Hub,Post Composer & Calendar,/portal/agent/marketing/posts,Publish post,Post immediately to connected account(s),social_posts,content-assets (new)
Marketing / Social Hub,Post Composer & Calendar,/portal/agent/marketing/posts,View content calendar,Calendar view of scheduled/published posts,content_posts,—
Marketing / Social Hub,Post Analytics,/portal/agent/marketing/analytics,View engagement/reach,"Per-post metrics (likes, shares, reach, clicks)",social_post_analytics,—
Marketing / Social Hub,Campaigns,/portal/agent/marketing/campaigns,Create campaign,"Define a marketing campaign (goal, dates, audience)",campaigns,—
Marketing / Social Hub,Campaigns,/portal/agent/marketing/campaigns,Attach leads to campaign,Associate leads generated by/targeted in the campaign,campaign_leads,—
Marketing / Social Hub,Campaigns,/portal/agent/marketing/campaigns,Track campaign performance,View leads/conversions attributable to the campaign,"campaigns, campaign_leads",—
Marketing / Social Hub,Broadcast Lists,/portal/agent/marketing/broadcasts,Manage broadcast list,Create/edit a list of recipients,broadcast_lists,—
Marketing / Social Hub,Broadcast Lists,/portal/agent/marketing/broadcasts,Send blast,Send a WhatsApp or email message to a list,"broadcast_recipients, whatsapp_messages",—
Marketing / Social Hub,Broadcast Lists,/portal/agent/marketing/broadcasts,View delivery status,Sent/delivered/read status per recipient,"broadcast_recipients, whatsapp_messages",—
Documents,Document Generator,/portal/agent/documents/new,Generate document,"Produce a proposal/contract from a template, auto-filled with client + listing data","documents_generated, message_templates",generated-documents (new)
Documents,Document Generator,/portal/agent/documents/new,Send to client,Deliver the generated document (email/WhatsApp/link),documents_generated,generated-documents (new)
Documents,Document Library,/portal/agent/documents,View past documents,List of previously generated documents,documents_generated,generated-documents (new)
Documents,Document Library,/portal/agent/documents,Download document,Retrieve a document file,documents_generated,generated-documents (new)
Documents,Document Library,/portal/agent/documents,Resend document,Send an existing document again,documents_generated,generated-documents (new)
Documents,Templates,/portal/agent/documents/templates,Create template,Define a reusable message/document template,"message_templates, social_templates",—
Documents,Templates,/portal/agent/documents/templates,Edit template,Modify an existing template,"message_templates, social_templates",—
Market Insights,Performance Dashboard,/portal/agent/insights/performance,View own KPIs over time,Trend charts of listings/leads/deals/commission against past periods,agent_performance,—
Market Insights,Performance Dashboard,/portal/agent/insights/performance,Compare to targets,"Show progress against set goals, if any",agent_performance,—
Market Insights,Market Reports,/portal/agent/insights/market,Browse market reports,List available district/segment reports,"market_reports, districts",—
Market Insights,Market Reports,/portal/agent/insights/market,Download report,Retrieve a report file,market_reports,—
Notifications,Notification Feed,/portal/agent/notifications,View notifications,Chronological feed of system/ARIA-generated alerts,notifications,—
Notifications,Notification Feed,/portal/agent/notifications,Mark read/unread,Track which notifications have been seen,notifications,—
Notifications,Notification Settings,/portal/agent/notifications/settings,Configure notification preferences,Choose which events trigger a notification and via what channel,notifications,—
Profile & Settings,My Profile,/portal/agent/profile,Edit bio/photo/contact info,Update public-facing agent profile,"agent_profiles, profiles",agent-avatars
Profile & Settings,My Profile,/portal/agent/profile,Manage CEA registration details,Update licensing info shown to clients,agent_profiles,—
Profile & Settings,Testimonials,/portal/agent/profile/testimonials,Add testimonial,Record a client testimonial,testimonials,—
Profile & Settings,Testimonials,/portal/agent/profile/testimonials,Approve/showcase testimonial,Select which testimonials appear publicly,testimonials,—
Profile & Settings,To-Dos,/portal/agent/profile/tasks,View/manage task list,Personal to-do list for the agent,agent_tasks,—
Profile & Settings,Account & Roles,/portal/agent/profile/account,Change password/email,Update login credentials,profiles,—
Profile & Settings,Account & Roles,/portal/agent/profile/account,View assigned role,See current role (agent/admin),user_roles,—
ARIA Assistant History,Conversation History,/portal/agent/aria/history,Browse past chat sessions,List of previous ARIA conversations,aria_conversations,—
ARIA Assistant History,Conversation History,/portal/agent/aria/history,Search conversations,Find a past chat by keyword,"aria_conversations, rag_documents",—
ARIA Assistant History,Voice Sessions,/portal/agent/aria/voice,Replay voice session,Play back a past voice interaction with ARIA,voice_sessions,voice-recordings (new)
ARIA Assistant History,Voice Sessions,/portal/agent/aria/voice,Review session transcript,Read the text transcript of a voice session,voice_sessions,—
ARIA Assistant History,Knowledge Base & Gaps,/portal/agent/aria/knowledge-base,Browse knowledge base,View the internal knowledge articles ARIA draws on,knowledge_base,—
ARIA Assistant History,Knowledge Base & Gaps,/portal/agent/aria/knowledge-base,Review unanswered queries,"See questions ARIA couldn't answer, to add knowledge or flag for follow-up",unanswered_queries,—
